Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
header,681,46,226,20,video5_0_1_shot28.jpg,1280,720
title,117,102,334,26,video5_0_1_shot28.jpg,1280,720
title,118,133,786,90,video5_0_1_shot28.jpg,1280,720
picture,86,255,110,164,video5_0_1_shot28.jpg,1280,720
picture,86,443,116,177,video5_0_1_shot28.jpg,1280,720
text box,218,279,242,139,video5_0_1_shot28.jpg,1280,720
text box,217,467,188,24,video5_0_1_shot28.jpg,1280,720
footer,112,692,73,17,video5_0_1_shot28.jpg,1280,720
text box,528,263,489,362,video5_0_1_shot28.jpg,1280,720
instructor,987,395,292,324,video5_0_1_shot28.jpg,1280,720
picture,223,513,288,64,video5_0_1_shot28.jpg,1280,720
header,178,13,290,53,video5_0_2_shot1.jpg,1280,720
header,701,51,216,15,video5_0_2_shot1.jpg,1280,720
footer,147,676,76,19,video5_0_2_shot1.jpg,1280,720
instructor,970,401,300,318,video5_0_2_shot1.jpg,1280,720
text box,159,115,303,29,video5_0_2_shot1.jpg,1280,720
text box,159,149,770,74,video5_0_2_shot1.jpg,1280,720
text box,147,236,261,82,video5_0_2_shot1.jpg,1280,720
text box,423,240,226,80,video5_0_2_shot1.jpg,1280,720
text box,700,244,198,51,video5_0_2_shot1.jpg,1280,720
picture,152,324,261,300,video5_0_2_shot1.jpg,1280,720
picture,428,324,256,300,video5_0_2_shot1.jpg,1280,720
picture,704,324,253,297,video5_0_2_shot1.jpg,1280,720
header,180,10,288,54,video5_0_2_shot5.jpg,1280,720
title,146,100,297,79,video5_0_2_shot5.jpg,1280,720
picture,140,219,257,153,video5_0_2_shot5.jpg,1280,720
footer,147,677,71,15,video5_0_2_shot5.jpg,1280,720
text box,462,111,215,29,video5_0_2_shot5.jpg,1280,720
text box,463,149,536,89,video5_0_2_shot5.jpg,1280,720
text box,464,249,564,59,video5_0_2_shot5.jpg,1280,720
text box,462,318,566,90,video5_0_2_shot5.jpg,1280,720
text box,464,417,560,128,video5_0_2_shot5.jpg,1280,720
text box,464,554,545,94,video5_0_2_shot5.jpg,1280,720
header,698,50,221,17,video5_0_2_shot5.jpg,1280,720
instructor,970,408,307,311,video5_0_2_shot5.jpg,1280,720
header,182,13,286,51,video5_0_2_shot6.jpg,1280,720
title,149,99,231,83,video5_0_2_shot6.jpg,1280,720
picture,141,220,257,152,video5_0_2_shot6.jpg,1280,720
footer,146,677,69,18,video5_0_2_shot6.jpg,1280,720
instructor,966,409,312,309,video5_0_2_shot6.jpg,1280,720
header,698,46,223,20,video5_0_2_shot6.jpg,1280,720
text box,463,204,510,81,video5_0_2_shot6.jpg,1280,720
text box,466,308,500,77,video5_0_2_shot6.jpg,1280,720
text box,466,407,391,26,video5_0_2_shot6.jpg,1280,720
header,174,13,294,54,video5_0_2_shot12.jpg,1280,720
header,700,50,219,16,video5_0_2_shot12.jpg,1280,720
footer,146,677,68,15,video5_0_2_shot12.jpg,1280,720
instructor,988,409,291,311,video5_0_2_shot12.jpg,1280,720
title,119,85,667,87,video5_0_2_shot12.jpg,1280,720
picture,113,357,304,244,video5_0_2_shot12.jpg,1280,720
chart,416,362,605,251,video5_0_2_shot12.jpg,1280,720
picture,921,97,99,294,video5_0_2_shot12.jpg,1280,720
picture,164,199,441,143,video5_0_2_shot12.jpg,1280,720
header,179,8,288,59,video5_0_2_shot14.jpg,1280,720
header,697,48,222,19,video5_0_2_shot14.jpg,1280,720
title,147,111,372,40,video5_0_2_shot14.jpg,1280,720
text box,132,195,407,155,video5_0_2_shot14.jpg,1280,720
picture,626,213,328,335,video5_0_2_shot14.jpg,1280,720
instructor,981,412,294,308,video5_0_2_shot14.jpg,1280,720
footer,149,670,70,25,video5_0_2_shot14.jpg,1280,720
header,128,10,325,57,video5_1_1_shot1.jpg,1280,720
header,711,47,247,21,video5_1_1_shot1.jpg,1280,720
title,107,127,462,44,video5_1_1_shot1.jpg,1280,720
text box,95,200,889,70,video5_1_1_shot1.jpg,1280,720
text box,95,286,872,32,video5_1_1_shot1.jpg,1280,720
text box,93,333,901,66,video5_1_1_shot1.jpg,1280,720
instructor,964,397,315,323,video5_1_1_shot1.jpg,1280,720
footer,89,677,87,22,video5_1_1_shot1.jpg,1280,720
instructor,951,401,329,319,video5_1_1_shot6.jpg,1280,720
header,129,7,322,60,video5_1_1_shot6.jpg,1280,720
title,97,112,591,37,video5_1_1_shot6.jpg,1280,720
picture,720,8,341,162,video5_1_1_shot6.jpg,1280,720
text box,96,184,870,69,video5_1_1_shot6.jpg,1280,720
text box,98,272,904,105,video5_1_1_shot6.jpg,1280,720
text box,94,394,715,29,video5_1_1_shot6.jpg,1280,720
footer,94,680,78,18,video5_1_1_shot6.jpg,1280,720
text box,219,645,742,55,video5_1_1_shot6.jpg,1280,720
instructor,965,399,313,319,video5_1_1_shot9.jpg,1280,720
header,129,7,322,61,video5_1_1_shot9.jpg,1280,720
title,97,114,592,37,video5_1_1_shot9.jpg,1280,720
text box,94,186,868,68,video5_1_1_shot9.jpg,1280,720
text box,96,270,908,105,video5_1_1_shot9.jpg,1280,720
text box,96,395,711,31,video5_1_1_shot9.jpg,1280,720
text box,96,441,828,26,video5_1_1_shot9.jpg,1280,720
text box,93,485,935,31,video5_1_1_shot9.jpg,1280,720
text box,218,638,756,61,video5_1_1_shot9.jpg,1280,720
footer,93,677,76,22,video5_1_1_shot9.jpg,1280,720
picture,719,6,346,165,video5_1_1_shot9.jpg,1280,720
instructor,965,399,313,319,video5_1_1_shot10.jpg,1280,720
header,129,8,325,58,video5_1_1_shot10.jpg,1280,720
title,97,111,592,42,video5_1_1_shot10.jpg,1280,720
picture,721,7,341,165,video5_1_1_shot10.jpg,1280,720
text box,96,186,865,67,video5_1_1_shot10.jpg,1280,720
text box,98,269,903,108,video5_1_1_shot10.jpg,1280,720
text box,96,395,711,28,video5_1_1_shot10.jpg,1280,720
text box,97,440,827,26,video5_1_1_shot10.jpg,1280,720
text box,94,484,935,28,video5_1_1_shot10.jpg,1280,720
text box,96,530,835,67,video5_1_1_shot10.jpg,1280,720
footer,93,677,76,21,video5_1_1_shot10.jpg,1280,720
text box,219,642,754,58,video5_1_1_shot10.jpg,1280,720
instructor,957,396,323,324,video5_1_1_shot12.jpg,1280,720
header,130,11,320,54,video5_1_1_shot12.jpg,1280,720
header,710,46,245,19,video5_1_1_shot12.jpg,1280,720
title,98,110,589,40,video5_1_1_shot12.jpg,1280,720
picture,66,182,603,165,video5_1_1_shot12.jpg,1280,720
footer,96,680,71,17,video5_1_1_shot12.jpg,1280,720
header,131,11,319,53,video5_1_1_shot13.jpg,1280,720
header,714,50,240,14,video5_1_1_shot13.jpg,1280,720
title,97,112,589,36,video5_1_1_shot13.jpg,1280,720
footer,96,680,71,15,video5_1_1_shot13.jpg,1280,720
instructor,926,395,354,325,video5_1_1_shot13.jpg,1280,720
picture,67,163,883,190,video5_1_1_shot13.jpg,1280,720
instructor,1029,403,251,316,video5_1_1_shot14.jpg,1280,720
picture,67,167,883,183,video5_1_1_shot14.jpg,1280,720
header,130,9,319,56,video5_1_1_shot14.jpg,1280,720
header,710,51,245,15,video5_1_1_shot14.jpg,1280,720
title,97,113,590,36,video5_1_1_shot14.jpg,1280,720
footer,97,679,71,17,video5_1_1_shot14.jpg,1280,720
diagram,62,389,488,259,video5_1_1_shot14.jpg,1280,720
header,132,11,317,52,video5_1_1_shot18.jpg,1280,720
header,714,49,240,14,video5_1_1_shot18.jpg,1280,720
title,110,129,619,35,video5_1_1_shot18.jpg,1280,720
text box,95,203,883,113,video5_1_1_shot18.jpg,1280,720
instructor,948,402,332,318,video5_1_1_shot18.jpg,1280,720
footer,97,679,70,17,video5_1_1_shot18.jpg,1280,720
header,127,11,322,52,video5_1_1_shot19.jpg,1280,720
header,711,48,244,17,video5_1_1_shot19.jpg,1280,720
title,109,126,619,37,video5_1_1_shot19.jpg,1280,720
title,97,207,169,26,video5_1_1_shot19.jpg,1280,720
text box,183,251,790,65,video5_1_1_shot19.jpg,1280,720
text box,182,333,558,25,video5_1_1_shot19.jpg,1280,720
text box,184,380,842,23,video5_1_1_shot19.jpg,1280,720
text box,187,425,637,26,video5_1_1_shot19.jpg,1280,720
instructor,952,404,328,316,video5_1_1_shot19.jpg,1280,720
footer,95,681,73,15,video5_1_1_shot19.jpg,1280,720
header,130,11,318,54,video5_1_1_shot20.jpg,1280,720
header,713,48,241,16,video5_1_1_shot20.jpg,1280,720
title,109,126,618,38,video5_1_1_shot20.jpg,1280,720
text box,95,206,170,27,video5_1_1_shot20.jpg,1280,720
text box,183,249,791,67,video5_1_1_shot20.jpg,1280,720
text box,185,334,556,24,video5_1_1_shot20.jpg,1280,720
text box,183,381,837,23,video5_1_1_shot20.jpg,1280,720
text box,185,425,639,23,video5_1_1_shot20.jpg,1280,720
text box,95,471,135,25,video5_1_1_shot20.jpg,1280,720
text box,183,515,805,61,video5_1_1_shot20.jpg,1280,720
footer,95,681,73,15,video5_1_1_shot20.jpg,1280,720
instructor,969,396,310,324,video5_1_1_shot20.jpg,1280,720
header,130,11,322,53,video5_1_1_shot22.jpg,1280,720
header,712,48,243,18,video5_1_1_shot22.jpg,1280,720
title,97,113,641,36,video5_1_1_shot22.jpg,1280,720
handwriting,391,165,486,19,video5_1_1_shot22.jpg,1280,720
text box,799,96,266,86,video5_1_1_shot22.jpg,1280,720
table,95,183,978,462,video5_1_1_shot22.jpg,1280,720
handwriting,381,608,536,22,video5_1_1_shot22.jpg,1280,720
handwriting,61,237,15,387,video5_1_1_shot22.jpg,1280,720
footer,94,681,73,17,video5_1_1_shot22.jpg,1280,720
instructor,1019,404,260,315,video5_1_1_shot22.jpg,1280,720
header,127,9,324,56,video5_1_1_shot23.jpg,1280,720
header,711,48,243,17,video5_1_1_shot23.jpg,1280,720
title,95,113,644,36,video5_1_1_shot23.jpg,1280,720
text box,801,94,263,88,video5_1_1_shot23.jpg,1280,720
handwriting,59,241,15,383,video5_1_1_shot23.jpg,1280,720
handwriting,377,606,542,23,video5_1_1_shot23.jpg,1280,720
handwriting,967,279,22,315,video5_1_1_shot23.jpg,1280,720
handwriting,1030,267,21,324,video5_1_1_shot23.jpg,1280,720
footer,97,680,70,18,video5_1_1_shot23.jpg,1280,720
instructor,999,402,280,318,video5_1_1_shot23.jpg,1280,720
table,92,179,978,470,video5_1_1_shot23.jpg,1280,720
handwriting,392,164,483,18,video5_1_1_shot23.jpg,1280,720
header,712,49,243,14,video5_1_1_shot27.jpg,1280,720
header,127,8,326,57,video5_1_1_shot27.jpg,1280,720
title,94,112,645,38,video5_1_1_shot27.jpg,1280,720
text box,799,96,266,86,video5_1_1_shot27.jpg,1280,720
handwriting,392,164,483,18,video5_1_1_shot27.jpg,1280,720
handwriting,61,237,15,387,video5_1_1_shot27.jpg,1280,720
handwriting,965,286,25,306,video5_1_1_shot27.jpg,1280,720
handwriting,1030,269,21,322,video5_1_1_shot27.jpg,1280,720
handwriting,381,610,536,20,video5_1_1_shot27.jpg,1280,720
table,94,182,979,463,video5_1_1_shot27.jpg,1280,720
instructor,959,398,320,321,video5_1_1_shot27.jpg,1280,720
footer,95,681,74,17,video5_1_1_shot27.jpg,1280,720
header,181,12,287,53,video5_1_2_shot20.jpg,1280,720
header,700,50,217,15,video5_1_2_shot20.jpg,1280,720
title,163,128,399,43,video5_1_2_shot20.jpg,1280,720
text box,132,207,399,62,video5_1_2_shot20.jpg,1280,720
picture,732,144,222,247,video5_1_2_shot20.jpg,1280,720
text box,718,425,282,37,video5_1_2_shot20.jpg,1280,720
footer,151,677,66,16,video5_1_2_shot20.jpg,1280,720
instructor,994,418,276,303,video5_1_2_shot20.jpg,1280,720
text box,133,284,457,61,video5_1_2_shot20.jpg,1280,720
text box,132,360,467,58,video5_1_2_shot20.jpg,1280,720
text box,132,474,368,26,video5_1_2_shot20.jpg,1280,720
text box,132,433,367,26,video5_1_2_shot20.jpg,1280,720
text box,132,515,294,22,video5_1_2_shot20.jpg,1280,720
text box,132,554,451,94,video5_1_2_shot20.jpg,1280,720
header,179,10,292,56,video5_1_2_shot23.jpg,1280,720
header,702,46,217,21,video5_1_2_shot23.jpg,1280,720
text box,830,122,176,21,video5_1_2_shot23.jpg,1280,720
title,162,126,449,39,video5_1_2_shot23.jpg,1280,720
text box,110,194,439,187,video5_1_2_shot23.jpg,1280,720
text box,110,381,375,138,video5_1_2_shot23.jpg,1280,720
text box,97,559,214,91,video5_1_2_shot23.jpg,1280,720
footer,150,673,68,21,video5_1_2_shot23.jpg,1280,720
instructor,982,418,295,301,video5_1_2_shot23.jpg,1280,720
header,177,10,292,56,video5_1_2_shot24.jpg,1280,720
header,700,46,217,21,video5_1_2_shot24.jpg,1280,720
text box,828,122,176,21,video5_1_2_shot24.jpg,1280,720
title,160,126,449,39,video5_1_2_shot24.jpg,1280,720
text box,108,194,439,187,video5_1_2_shot24.jpg,1280,720
text box,108,381,375,138,video5_1_2_shot24.jpg,1280,720
text box,95,559,214,91,video5_1_2_shot24.jpg,1280,720
footer,148,673,68,21,video5_1_2_shot24.jpg,1280,720
instructor,982,418,297,300,video5_1_2_shot24.jpg,1280,720
text box,578,186,450,209,video5_1_2_shot24.jpg,1280,720
instructor,952,400,325,318,video5_1_3_shot1.jpg,1280,720
header,165,14,324,53,video5_1_3_shot1.jpg,1280,720
header,745,49,248,20,video5_1_3_shot1.jpg,1280,720
title,145,129,458,42,video5_1_3_shot1.jpg,1280,720
text box,135,206,806,68,video5_1_3_shot1.jpg,1280,720
text box,133,290,891,313,video5_1_3_shot1.jpg,1280,720
footer,131,681,76,20,video5_1_3_shot1.jpg,1280,720
header,168,11,321,56,video5_1_3_shot2.jpg,1280,720
header,747,49,246,20,video5_1_3_shot2.jpg,1280,720
title,145,129,532,42,video5_1_3_shot2.jpg,1280,720
diagram,67,238,858,184,video5_1_3_shot2.jpg,1280,720
text box,133,481,122,24,video5_1_3_shot2.jpg,1280,720
text box,133,519,132,28,video5_1_3_shot2.jpg,1280,720
picture,885,82,215,196,video5_1_3_shot2.jpg,1280,720
instructor,952,396,325,321,video5_1_3_shot2.jpg,1280,720
footer,131,681,73,20,video5_1_3_shot2.jpg,1280,720
picture,743,445,302,153,video5_1_3_shot2.jpg,1280,720
instructor,939,392,339,327,video5_1_4_shot4.jpg,1280,720
header,166,13,321,53,video5_1_4_shot4.jpg,1280,720
header,749,52,245,14,video5_1_4_shot4.jpg,1280,720
title,144,129,339,44,video5_1_4_shot4.jpg,1280,720
text box,128,188,899,142,video5_1_4_shot4.jpg,1280,720
footer,132,684,73,17,video5_1_4_shot4.jpg,1280,720
header,167,13,321,53,video5_1_4_shot9.jpg,1280,720
header,751,51,242,15,video5_1_4_shot9.jpg,1280,720
title,147,125,214,48,video5_1_4_shot9.jpg,1280,720
text box,133,191,923,105,video5_1_4_shot9.jpg,1280,720
text box,131,313,337,29,video5_1_4_shot9.jpg,1280,720
instructor,943,389,336,330,video5_1_4_shot9.jpg,1280,720
footer,132,683,74,19,video5_1_4_shot9.jpg,1280,720
picture,904,305,198,268,video5_1_4_shot9.jpg,1280,720
header,747,51,246,18,video5_1_4_shot17.jpg,1280,720
header,166,11,322,56,video5_1_4_shot17.jpg,1280,720
title,149,128,212,45,video5_1_4_shot17.jpg,1280,720
handwriting,526,18,583,168,video5_1_4_shot17.jpg,1280,720
picture,903,305,198,267,video5_1_4_shot17.jpg,1280,720
footer,132,681,71,20,video5_1_4_shot17.jpg,1280,720
instructor,947,403,331,317,video5_1_4_shot17.jpg,1280,720
text box,136,190,919,111,video5_1_4_shot17.jpg,1280,720
text box,135,312,740,233,video5_1_4_shot17.jpg,1280,720
header,747,50,246,17,video5_1_4_shot20.jpg,1280,720
header,167,13,321,53,video5_1_4_shot20.jpg,1280,720
title,147,129,156,37,video5_1_4_shot20.jpg,1280,720
text box,133,207,904,175,video5_1_4_shot20.jpg,1280,720
footer,136,682,69,19,video5_1_4_shot20.jpg,1280,720
instructor,945,390,334,328,video5_1_4_shot20.jpg,1280,720
header,165,9,327,59,video5_1_4_shot22.jpg,1280,720
header,747,50,247,20,video5_1_4_shot22.jpg,1280,720
title,143,125,176,51,video5_1_4_shot22.jpg,1280,720
text box,128,206,937,106,video5_1_4_shot22.jpg,1280,720
text box,132,329,360,29,video5_1_4_shot22.jpg,1280,720
footer,132,683,73,18,video5_1_4_shot22.jpg,1280,720
instructor,950,397,330,322,video5_1_4_shot22.jpg,1280,720
header,164,12,324,55,video5_1_4_shot23.jpg,1280,720
header,747,48,246,20,video5_1_4_shot23.jpg,1280,720
title,144,130,175,41,video5_1_4_shot23.jpg,1280,720
text box,131,207,934,104,video5_1_4_shot23.jpg,1280,720
text box,133,328,925,257,video5_1_4_shot23.jpg,1280,720
footer,131,680,76,21,video5_1_4_shot23.jpg,1280,720
instructor,945,400,334,319,video5_1_4_shot23.jpg,1280,720
header,164,11,328,60,video5_1_4_shot24.jpg,1280,720
header,748,50,246,18,video5_1_4_shot24.jpg,1280,720
title,146,129,386,47,video5_1_4_shot24.jpg,1280,720
text box,132,204,867,30,video5_1_4_shot24.jpg,1280,720
footer,129,681,77,20,video5_1_4_shot24.jpg,1280,720
instructor,976,403,304,316,video5_1_4_shot24.jpg,1280,720
header,164,12,325,54,video5_1_4_shot25.jpg,1280,720
header,750,50,242,18,video5_1_4_shot25.jpg,1280,720
title,145,132,385,42,video5_1_4_shot25.jpg,1280,720
text box,130,207,907,215,video5_1_4_shot25.jpg,1280,720
footer,130,684,74,15,video5_1_4_shot25.jpg,1280,720
instructor,948,395,332,325,video5_1_4_shot25.jpg,1280,720
header,165,13,324,56,video5_1_4_shot26.jpg,1280,720
header,749,50,244,19,video5_1_4_shot26.jpg,1280,720
title,147,130,381,41,video5_1_4_shot26.jpg,1280,720
text box,132,206,902,216,video5_1_4_shot26.jpg,1280,720
text box,133,438,889,141,video5_1_4_shot26.jpg,1280,720
instructor,961,393,319,325,video5_1_4_shot26.jpg,1280,720
footer,128,684,80,17,video5_1_4_shot26.jpg,1280,720
header,164,13,325,52,video5_1_4_shot28.jpg,1280,720
header,749,50,244,19,video5_1_4_shot28.jpg,1280,720
title,145,128,360,42,video5_1_4_shot28.jpg,1280,720
text box,134,205,888,67,video5_1_4_shot28.jpg,1280,720
footer,130,682,75,16,video5_1_4_shot28.jpg,1280,720
instructor,942,399,337,320,video5_1_4_shot28.jpg,1280,720
header,164,13,325,51,video5_1_4_shot29.jpg,1280,720
header,747,50,247,17,video5_1_4_shot29.jpg,1280,720
title,145,130,359,40,video5_1_4_shot29.jpg,1280,720
text box,134,207,887,175,video5_1_4_shot29.jpg,1280,720
handwriting,884,242,77,32,video5_1_4_shot29.jpg,1280,720
instructor,945,405,335,314,video5_1_4_shot29.jpg,1280,720
footer,131,681,75,18,video5_1_4_shot29.jpg,1280,720
header,167,14,320,52,video5_1_4_shot31.jpg,1280,720
header,749,50,242,18,video5_1_4_shot31.jpg,1280,720
title,146,130,357,42,video5_1_4_shot31.jpg,1280,720
text box,131,205,891,176,video5_1_4_shot31.jpg,1280,720
text box,131,400,858,71,video5_1_4_shot31.jpg,1280,720
text box,131,485,857,32,video5_1_4_shot31.jpg,1280,720
text box,133,528,885,106,video5_1_4_shot31.jpg,1280,720
footer,129,681,76,22,video5_1_4_shot31.jpg,1280,720
instructor,937,399,341,321,video5_1_4_shot31.jpg,1280,720
header,167,14,321,52,video5_1_4_shot32.jpg,1280,720
header,750,51,243,15,video5_1_4_shot32.jpg,1280,720
title,136,98,189,35,video5_1_4_shot32.jpg,1280,720
text box,135,149,735,43,video5_1_4_shot32.jpg,1280,720
picture,965,108,130,100,video5_1_4_shot32.jpg,1280,720
instructor,982,408,297,310,video5_1_4_shot32.jpg,1280,720
footer,133,682,72,18,video5_1_4_shot32.jpg,1280,720
diagram,114,242,1019,128,video5_1_4_shot32.jpg,1280,720
handwriting,424,183,95,95,video5_1_4_shot32.jpg,1280,720
header,168,14,320,53,video5_1_4_shot37.jpg,1280,720
title,138,97,187,38,video5_1_4_shot37.jpg,1280,720
text box,136,148,733,44,video5_1_4_shot37.jpg,1280,720
handwriting,424,185,99,93,video5_1_4_shot37.jpg,1280,720
header,750,51,243,16,video5_1_4_shot37.jpg,1280,720
picture,965,108,130,100,video5_1_4_shot37.jpg,1280,720
diagram,118,244,1015,126,video5_1_4_shot37.jpg,1280,720
handwriting,154,383,906,243,video5_1_4_shot37.jpg,1280,720
footer,133,683,73,17,video5_1_4_shot37.jpg,1280,720
instructor,945,398,333,320,video5_1_4_shot37.jpg,1280,720
header,168,14,319,52,video5_1_4_shot38.jpg,1280,720
title,147,130,175,36,video5_1_4_shot38.jpg,1280,720
header,751,51,242,15,video5_1_4_shot38.jpg,1280,720
instructor,940,396,338,324,video5_1_4_shot38.jpg,1280,720
footer,131,682,73,20,video5_1_4_shot38.jpg,1280,720
text box,131,207,835,175,video5_1_4_shot38.jpg,1280,720
instructor,943,394,334,325,video5_1_4_shot40.jpg,1280,720
footer,131,683,74,18,video5_1_4_shot40.jpg,1280,720
header,167,13,320,54,video5_1_4_shot40.jpg,1280,720
title,146,131,177,35,video5_1_4_shot40.jpg,1280,720
header,750,52,242,15,video5_1_4_shot40.jpg,1280,720
text box,133,206,831,177,video5_1_4_shot40.jpg,1280,720
text box,131,397,709,66,video5_1_4_shot40.jpg,1280,720
text box,134,481,360,24,video5_1_4_shot40.jpg,1280,720
instructor,941,390,337,329,video5_1_4_shot41.jpg,1280,720
header,166,13,323,52,video5_1_4_shot41.jpg,1280,720
title,146,130,177,38,video5_1_4_shot41.jpg,1280,720
header,749,49,244,18,video5_1_4_shot41.jpg,1280,720
text box,134,208,833,173,video5_1_4_shot41.jpg,1280,720
text box,135,396,707,67,video5_1_4_shot41.jpg,1280,720
text box,135,481,855,106,video5_1_4_shot41.jpg,1280,720
footer,133,681,71,21,video5_1_4_shot41.jpg,1280,720
header,253,14,256,51,video5_1_5_shot4.jpg,1280,720
header,793,51,195,13,video5_1_5_shot4.jpg,1280,720
title,224,113,334,39,video5_1_5_shot4.jpg,1280,720
text box,224,202,407,58,video5_1_5_shot4.jpg,1280,720
text box,224,273,423,57,video5_1_5_shot4.jpg,1280,720
text box,224,343,416,57,video5_1_5_shot4.jpg,1280,720
text box,223,414,411,53,video5_1_5_shot4.jpg,1280,720
text box,224,484,384,54,video5_1_5_shot4.jpg,1280,720
footer,223,677,86,15,video5_1_5_shot4.jpg,1280,720
instructor,789,449,363,271,video5_1_5_shot4.jpg,1280,720
text box,683,109,344,124,video5_1_5_shot4.jpg,1280,720
header,253,14,258,51,video5_1_5_shot5.jpg,1280,720
header,792,51,196,13,video5_1_5_shot5.jpg,1280,720
text box,683,111,344,124,video5_1_5_shot5.jpg,1280,720
title,223,114,253,39,video5_1_5_shot5.jpg,1280,720
text box,223,202,396,54,video5_1_5_shot5.jpg,1280,720
text box,224,274,188,20,video5_1_5_shot5.jpg,1280,720
footer,220,676,90,17,video5_1_5_shot5.jpg,1280,720
instructor,790,449,359,271,video5_1_5_shot5.jpg,1280,720
diagram,517,300,217,359,video5_1_5_shot5.jpg,1280,720
header,253,14,256,51,video5_1_6_shot3.jpg,1280,720
header,792,51,196,14,video5_1_6_shot3.jpg,1280,720
title,224,123,787,32,video5_1_6_shot3.jpg,1280,720
text box,740,216,290,48,video5_1_6_shot3.jpg,1280,720
text box,739,281,280,50,video5_1_6_shot3.jpg,1280,720
text box,739,343,337,52,video5_1_6_shot3.jpg,1280,720
text box,740,407,267,23,video5_1_6_shot3.jpg,1280,720
text box,740,442,158,22,video5_1_6_shot3.jpg,1280,720
text box,740,478,121,18,video5_1_6_shot3.jpg,1280,720
text box,740,511,155,20,video5_1_6_shot3.jpg,1280,720
instructor,847,498,296,222,video5_1_6_shot3.jpg,1280,720
footer,222,676,87,16,video5_1_6_shot3.jpg,1280,720
chart,230,426,484,230,video5_1_6_shot3.jpg,1280,720
chart,230,175,454,241,video5_1_6_shot3.jpg,1280,720
header,253,15,256,49,video5_1_6_shot5.jpg,1280,720
header,792,52,196,13,video5_1_6_shot5.jpg,1280,720
title,234,129,594,38,video5_1_6_shot5.jpg,1280,720
text box,605,198,266,19,video5_1_6_shot5.jpg,1280,720
text box,605,232,478,22,video5_1_6_shot5.jpg,1280,720
text box,605,268,481,48,video5_1_6_shot5.jpg,1280,720
text box,605,331,390,22,video5_1_6_shot5.jpg,1280,720
text box,605,365,358,95,video5_1_6_shot5.jpg,1280,720
instructor,842,489,299,230,video5_1_6_shot5.jpg,1280,720
footer,223,677,86,14,video5_1_6_shot5.jpg,1280,720
diagram,222,185,345,478,video5_1_6_shot5.jpg,1280,720
header,153,11,318,53,video5_2_1_shot4.jpg,1280,720
header,730,50,243,13,video5_2_1_shot4.jpg,1280,720
